lat,long,freq
34.895926,+AC0-83.46655,1
57.1426487,+AC0-2.0976346,1
39.5095556,+AC0-76.1641197,2
33.8251139,+AC0-88.5436553,1
45.4649805,+AC0-98.487813,4
46.975371,+AC0-123.815722,2
38.917252,+AC0-97.21377,1
32.44645,+AC0-99.7475905,7
36.7104018,+AC0-81.975249,1
42.1048228,+AC0-70.9453218,2
40.1206656,+AC0-75.1179512,6
32.6279109,+AC0-96.1916425,1
22.2777353,+AC0-80.5698885,1
38.1746398,+AC0-121.2785588,1
9.5507961,+AC0-69.2032823,2
42.5539385,+AC0-93.0526788,1
38.931802,+AC0-92.3894128,1
42.4850931,+AC0-71.43284,1
18.5624944,+AC0-95.8045024287,1
41.6806593,+AC0-70.907816,1
34.0659329,+AC0-84.6768796,1
34.7743383,+AC0-96.6783651,6
36.4367575,+AC0-95.2713584,2
39.9787786,+AC0-91.2110065,2
40.3117361,+AC0-79.6561538,1
42.1051571,+AC0-77.2340584,1
48.3560097,+AC0-117.8374739,1
41.6175278,+AC0-94.0183875,1
+AC0-34.9281805,138.5999312,1
50.445,+AC0-86.047,1
41.8975152,+AC0-84.0373054,6
38.397518,+AC0-94.3516159,1
35.9412851,+AC0-80.4096455,1
13.4655441,144.7465713619,1
42.066186,+AC0-72.6484627,1
39.7086838,+AC0-97.431991187,1
37.3946626,+AC0-121.9591252,1
34.14791,+AC0-118.7657042,1
37.12005,+AC0-93.48019,1
10.504131,+AC0-68.509696,1
31.3179664,+AC0-109.5425509,1
40.5365409,+AC0-8.4552759817,1
50.9615197,6.6074773,4
8.20938495,+AC0-80.6033332042,5
36.2868223,+AC0-76.9846808,1
18.128092,+AC0-66.268717,2
33.5598586,+AC0-81.721952,1
32.0088094,130.7413006,1
32.8765165,+AC0-87.7425105,1
41.083064,+AC0-81.518485,1
41.083064,+AC0-81.518485,12
36.04728285,+AC0-79.4003752171,2
37.6090291,+AC0-121.899142,13
32.9046474,+AC0-105.941835,1
8.4001217,+AC0-82.5592327,1
37.2383894,+AC0-94.4174489,1
37.88687,+AC0-122.2977475,2
42.6511674,+AC0-73.754968,7
40.2486069,+AC0-94.331068,1
42.6511674,+AC0-73.754968,20
35.3501426,+AC0-80.2000578,3
43.6480127,+AC0-93.3682656,1
36.8657034,+AC0-77.8863857,1
39.3148402,+AC0-76.7937955,1
39.2235117,+AC0-123.7686251,1
42.243097,+AC0-84.7530304,1
42.1124866,+AC0-92.9885339,1
35.0841034,+AC0-106.650985,11
41.1997568,+AC0-90.7493063,2
32.944012,+AC0-85.9538532,2
31.311248,+AC0-92.4449087,8
38.8051095,+AC0-77.0470229,11
43.0699663,+AC0-94.233019,4
34.093042,+AC0-118.12706,6
27.7522487,+AC0-98.0697249,5
40.6102386,+AC0-80.267726,6
42.5867203,+AC0-85.8861492,1
40.4597204,+AC0-79.9760405,1
40.4597204,+AC0-79.9760405,1
39.9964906,+AC0-75.1134652,3
37.8882168,+AC0-95.3170208,1
34.87863625,+AC0-96.4103591578,1
40.0981287,+AC0-79.8489347,2
38.5036646,+AC0-90.6759615,1
40.1778887,+AC0-74.5834887,1
40.6022059,+AC0-75.4712794,8
40.9153362,+AC0-81.1059309,2
39.016666,+AC0-96.289162,1
39.0952954,+AC0-93.5452125,2
9.08836205,+AC0-82.678683068,1
45.0176181,+AC0-83.6670019,3
40.6670439,+AC0-75.1573972,1
34.0709576,+AC0-84.2747329,2
38.5893934,+AC0-119.8345013,1
39.640751,+AC0-106.63172,1
34.1863161,+AC0-118.1352329,3
19.65099835,+AC0-70.7929872049,1
28.6619154,+AC0-81.3885899,2
37.1118094,+AC0-79.285579,1
20.1695551,+AC0-75.7052836,1
38.8908583,+AC0-90.1843091,4
37.5239434,+AC0-95.6613696,1
40.518681,+AC0-78.394736,10
34.6381255,+AC0-99.3339754,2
35.2072185,+AC0-101.8338246,4
40.1545535,+AC0-75.2215651,1
41.7141997,+AC0-89.3287061,1
40.5892339,+AC0-80.22506,1
39.024449,+AC0-84.2142426924,1
40.3768954,+AC0-111.7957645,1
32.0723862,+AC0-84.2326876,3
38.506956,+AC0-96.2619425,1
45.3069062,+AC0-92.3621369,1
42.0267703,+AC0-93.6170554,3
42.8579536,+AC0-70.9300921,3
42.3685658,+AC0-72.505714,1
42.8642874,+AC0-71.6252484,2
41.3978217,+AC0-82.2223775,1
44.4506775,+AC0-89.2845905,1
42.101338,+AC0-83.108636,1
40.6789893,+AC0-73.4170673,1
33.9869898,+AC0-88.4856105,2
52.3727598,4.8936041,2
42.953685,+AC0-74.2195811,5
9.432191,+AC0-64.466834,6
46.1294685,+AC0-112.953131,1
48.5020123,+AC0-122.6237356,1
35.0725367,+AC0-98.2436591,3
33.8444082,+AC0-117.7773862,1
33.8340292,+AC0-117.9334858542,24
61.2163129,+AC0-149.894852,10
42.6911437,+AC0-82.6885269,1
35.153493,+AC0-94.670941,1
47.1557835,+AC0-122.707095228,1
37.54889105,+AC0-77.4533088656,7
34.5068601,+AC0-82.6506264,4
45.2332985,+AC0-93.2913405,1
45.2332985,+AC0-93.2913405,1
42.1564581,+AC0-77.7955509,1
41.607169,+AC0-80.571323,1
38.0695732,+AC0-120.5405039,2
29.16941,+AC0-95.4318847,2
42.638393,+AC0-79.027816,1
41.001453,+AC0-78.9630893,1
39.2567572,+AC0-80.2923107,1
42.2681569,+AC0-83.7312291,6
37.4603274,+AC0-89.2470282,1
38.9786401,+AC0-76.492786,5
33.6594422,+AC0-85.8316326,4
40.3295901,+AC0-76.515226,2
49.885264,+AC0-96.637257,1
38.136411,+AC0-81.0994268,1
45.140245,+AC0-89.152335,1
38.0049214,+AC0-121.805789,4
36.3558822,+AC0-86.2549901,1
41.633961,+AC0-77.2869204,1
34.8936766,+AC0-98.3658875,1
29.7255084,+AC0-84.9827725,1
