City,State,Country,debutYear,freq,lat,long
Aberdeen, SD, USA,1981,1,45.4649805,-98.487813
Aberdeen, SD, USA,2001,1,45.4649805,-98.487813
Aberdeen, WA, USA,1983,1,46.975371,-123.815722
Abilene, TX, USA,1971,1,32.44645,-99.7475905
Abilene, TX, USA,1974,1,32.44645,-99.7475905
Abilene, TX, USA,1986,1,32.44645,-99.7475905
Abilene, TX, USA,2002,1,32.44645,-99.7475905
Abington, MA, USA,1987,1,42.1048228,-70.9453218
Abington, PA, USA,1972,1,40.1206656,-75.1179512
Abington, PA, USA,1987,1,40.1206656,-75.1179512
Abington, PA, USA,1995,2,40.1206656,-75.1179512
Acton, MA, USA,2016,1,42.4850931,-71.43284
Acworth, GA, USA,2020,1,34.0659329,-84.6768796
Ada, OK, USA,1972,1,34.7743383,-96.6783651
Ada, OK, USA,2003,1,34.7743383,-96.6783651
Ada, OK, USA,2006,1,34.7743383,-96.6783651
Ada, OK, USA,2007,1,34.7743383,-96.6783651
Adel, GA, USA,2015,1,41.6175278,-94.0183875
Adrian, MI, USA,1986,1,41.8975152,-84.0373054
Advance, NC, USA,2019,1,35.9412851,-80.4096455
Agoura Hills, CA, USA,2010,1,34.14791,-118.7657042
Aiken, SC, USA,2020,1,33.5598586,-81.721952
Akron, OH, USA,1970,1,41.083064,-81.518485
Akron, OH, USA,1976,1,41.083064,-81.518485
Akron, OH, USA,2012,1,41.083064,-81.518485
Alameda, CA, USA,1970,2,37.6090291,-121.899142
Alameda, CA, USA,1971,1,37.6090291,-121.899142
Alameda, CA, USA,2001,1,37.6090291,-121.899142
Alameda, CA, USA,2005,1,37.6090291,-121.899142
Alameda, CA, USA,2008,1,37.6090291,-121.899142
Alamogordo, NM, USA,1996,1,32.9046474,-105.941835
Albany, GA, USA,1971,1,42.6511674,-73.754968
Albany, GA, USA,1974,1,42.6511674,-73.754968
Albany, GA, USA,1978,1,42.6511674,-73.754968
Albany, NY, USA,1985,1,42.6511674,-73.754968
Albany, NY, USA,1999,1,42.6511674,-73.754968
Albany, NY, USA,2012,1,42.6511674,-73.754968
Albany, NY, USA,2018,1,42.6511674,-73.754968
Albemarle, NC, USA,1971,1,35.3501426,-80.2000578
Albemarle, NC, USA,1973,1,35.3501426,-80.2000578
Albert Lea, MN, USA,1977,1,43.6480127,-93.3682656
Albuquerque, NM, USA,1989,1,35.0841034,-106.650985
Albuquerque, NM, USA,1991,1,35.0841034,-106.650985
Albuquerque, NM, USA,2001,1,35.0841034,-106.650985
Albuquerque, NM, USA,2005,1,35.0841034,-106.650985
Albuquerque, NM, USA,2008,1,35.0841034,-106.650985
Albuquerque, NM, USA,2011,2,35.0841034,-106.650985
Albuquerque, NM, USA,2014,1,35.0841034,-106.650985
Albuquerque, NM, USA,2016,1,35.0841034,-106.650985
Albuquerque, NM, USA,2017,1,35.0841034,-106.650985
Alexander City, AL, USA,2014,1,32.944012,-85.9538532
Alexandria, LA, USA,1987,1,31.311248,-92.4449087
Alexandria, LA, USA,1991,1,31.311248,-92.4449087
Alexandria, LA, USA,1992,1,31.311248,-92.4449087
Alexandria, LA, USA,1993,1,31.311248,-92.4449087
Alexandria, LA, USA,1999,1,31.311248,-92.4449087
Alexandria, LA, USA,2008,1,31.311248,-92.4449087
Alexandria, VA, USA,1975,1,38.8051095,-77.0470229
Alexandria, VA, USA,1983,1,38.8051095,-77.0470229
Alexandria, VA, USA,2009,1,38.8051095,-77.0470229
Alexandria, VA, USA,2016,1,38.8051095,-77.0470229
Alexandria, VA, USA,2017,1,38.8051095,-77.0470229
Algona, IA, USA,2008,1,43.0699663,-94.233019
Alhambra, CA, USA,1970,1,34.093042,-118.12706
Alhambra, CA, USA,1979,1,34.093042,-118.12706
Alice, TX, USA,1972,1,27.7522487,-98.0697249
Alice, TX, USA,1976,1,27.7522487,-98.0697249
Alice, TX, USA,1977,1,27.7522487,-98.0697249
Aliquippa, PA, USA,1972,2,40.6102386,-80.267726
Allentown, PA, USA,1972,1,40.6022059,-75.4712794
Allentown, PA, USA,1991,1,40.6022059,-75.4712794
Allentown, PA, USA,2011,1,40.6022059,-75.4712794
Allentown, PA, USA,2017,1,40.6022059,-75.4712794
Alma, MI, USA,2020,1,39.016666,-96.289162
Alpena, MI, USA,1983,1,45.0176181,-83.6670019
Alpena, MI, USA,1992,1,45.0176181,-83.6670019
Alpena, MI, USA,1994,1,45.0176181,-83.6670019
Alpharetta, GA, USA,2011,1,34.0709576,-84.2747329
Alpharetta, GA, USA,2020,1,34.0709576,-84.2747329
Alpine, CA, USA,2020,1,38.5893934,-119.8345013
Altamonte Springs, FL, USA,2003,1,28.6619154,-81.3885899
Altamonte Springs, FL, USA,2013,1,28.6619154,-81.3885899
Alton, IL, USA,1983,1,38.8908583,-90.1843091
Altoona, PA, USA,1996,1,40.518681,-78.394736
Altus, OK, USA,1976,1,34.6381255,-99.3339754
Amarillo, TX, USA,2013,1,35.2072185,-101.8338246
Amarillo, TX, USA,2018,1,35.2072185,-101.8338246
Amarillo, TX, USA,2020,1,35.2072185,-101.8338246
American Fork, UT, USA,2010,1,40.3768954,-111.7957645
Americus, GA, USA,1991,1,32.0723862,-84.2326876
Ames, IA, USA,1993,1,42.0267703,-93.6170554
Amherst, OH, USA,2014,1,41.3978217,-82.2223775
Amityville, NY, USA,1996,1,40.6789893,-73.4170673
Amory, MS, USA,1995,1,33.9869898,-88.4856105
Amory, MS, USA,2010,1,33.9869898,-88.4856105
Amsterdam, NY, USA,1980,1,42.953685,-74.2195811
Anaconda, MT, USA,2007,1,46.1294685,-112.953131
Anadarko, OK, USA,1993,1,35.0725367,-98.2436591
Anaheim Hills, CA, USA,2019,1,33.8444082,-117.7773862
Anaheim, CA, USA,1988,2,33.8340292,-117.9334858542
Anaheim, CA, USA,1992,1,33.8340292,-117.9334858542
Anaheim, CA, USA,1995,1,33.8340292,-117.9334858542
Anaheim, CA, USA,1997,1,33.8340292,-117.9334858542
Anaheim, CA, USA,1998,1,33.8340292,-117.9334858542
Anaheim, CA, USA,1999,1,33.8340292,-117.9334858542
Anaheim, CA, USA,2007,2,33.8340292,-117.9334858542
Anaheim, CA, USA,2008,1,33.8340292,-117.9334858542
Anaheim, CA, USA,2009,2,33.8340292,-117.9334858542
Anaheim, CA, USA,2010,3,33.8340292,-117.9334858542
Anaheim, CA, USA,2011,1,33.8340292,-117.9334858542
Anaheim, CA, USA,2012,3,33.8340292,-117.9334858542
Anaheim, CA, USA,2015,1,33.8340292,-117.9334858542
Anaheim, CA, USA,2018,2,33.8340292,-117.9334858542
Anaheim, CA, USA,2019,1,33.8340292,-117.9334858542
Anchorage, AK, USA,1977,1,61.2163129,-149.894852
Anchorage, AK, USA,1980,1,61.2163129,-149.894852
Anchorage, AK, USA,1986,1,61.2163129,-149.894852
Anchorage, AK, USA,1988,1,61.2163129,-149.894852
Anchorage, AK, USA,2000,1,61.2163129,-149.894852
Anchorage, AK, USA,2001,2,61.2163129,-149.894852
Anchorage, AK, USA,2008,1,61.2163129,-149.894852
Anchorage, AK, USA,2009,1,61.2163129,-149.894852
Anchorage, AK, USA,2016,1,61.2163129,-149.894852
Anchorville, MI, USA,1991,1,42.6911437,-82.6885269
Anderson, IN, USA,1996,1,37.54889105,-77.4533088656
Anderson, SC, USA,1974,1,34.5068601,-82.6506264
Andover, MA, USA,2019,1,45.2332985,-93.2913405
Andover, MN, USA,2014,1,45.2332985,-93.2913405
Ann Arbor, MI, USA,1981,2,42.2681569,-83.7312291
Ann Arbor, MI, USA,1998,1,42.2681569,-83.7312291
Ann Arbor, MI, USA,2013,1,42.2681569,-83.7312291
Ann Arbor, MI, USA,2019,1,42.2681569,-83.7312291
Annapolis, MD, USA,1989,1,38.9786401,-76.492786
Annapolis, MD, USA,2003,1,38.9786401,-76.492786
Annapolis, MD, USA,2004,1,38.9786401,-76.492786
Annapolis, MD, USA,2009,1,38.9786401,-76.492786
Anniston, AL, USA,2005,1,33.6594422,-85.8316326
Antigo, WI, USA,2009,1,45.140245,-89.152335
Antioch, CA, USA,1988,1,38.0049214,-121.805789
Antioch, CA, USA,1999,1,38.0049214,-121.805789
Antioch, CA, USA,2017,1,38.0049214,-121.805789
Apple Valley, CA, USA,2005,1,34.5008311,-117.1858759
Apple Valley, CA, USA,2008,1,34.5008311,-117.1858759
Appleton, WI, USA,1975,1,44.2613967,-88.4069744
Appleton, WI, USA,2004,2,44.2613967,-88.4069744
Arcadia, CA, USA,1982,1,34.1362075,-118.0401497
Arcadia, CA, USA,1983,1,34.1362075,-118.0401497
Arcadia, CA, USA,1985,1,34.1362075,-118.0401497
Arcadia, CA, USA,1992,1,34.1362075,-118.0401497
Arcadia, CA, USA,2003,1,34.1362075,-118.0401497
Arcadia, CA, USA,2015,1,34.1362075,-118.0401497
Arcadia, CA, USA,2020,1,34.1362075,-118.0401497
Arcata, CA, USA,1978,1,40.866517,-124.08284
Arcata, CA, USA,1995,1,40.866517,-124.08284
Ardmore, OK, USA,1970,1,34.1742611,-97.1436254
Argo, IL, USA,1977,1,41.8964014,-87.6209646
Arkadelphia, AR, USA,1978,1,34.1209292,-93.053784
Arkansas City, KS, USA,1983,1,37.0622562,-97.0388338
Arlington Heights, IL, USA,1992,2,42.0811563,-87.9802164
Arlington Heights, IL, USA,1995,1,42.0811563,-87.9802164
Arlington, MA, USA,1990,1,32.701939,-97.1056237903
Arlington, TX, USA,1997,1,32.701939,-97.1056237903
Arlington, TX, USA,2010,1,32.701939,-97.1056237903
Arlington, TX, USA,2012,1,32.701939,-97.1056237903
Arlington, TX, USA,2013,2,32.701939,-97.1056237903
Arlington, TX, USA,2014,1,32.701939,-97.1056237903
Arlington, TX, USA,2015,1,32.701939,-97.1056237903
Arlington, TX, USA,2018,1,32.701939,-97.1056237903
Arlington, VA, USA,1971,1,32.701939,-97.1056237903
Arlington, VA, USA,1979,1,32.701939,-97.1056237903
Arlington, VA, USA,1986,2,32.701939,-97.1056237903
Arlington, VA, USA,1987,1,32.701939,-97.1056237903
Arlington, VA, USA,1996,1,32.701939,-97.1056237903
Artesia, CA, USA,1970,1,33.8690197,-118.0796195
Artesia, CA, USA,1989,1,33.8690197,-118.0796195
Artesia, CA, USA,2009,1,33.8690197,-118.0796195
Arvada, CO, USA,2020,1,39.8005505,-105.0811573
Ashburn, VA, USA,2016,1,39.0300191,-77.4696464656
Ashburn, VA, USA,2019,1,39.0300191,-77.4696464656
Asheville, NC, USA,1977,1,35.6009498,-82.5540161
Asheville, NC, USA,1978,1,35.6009498,-82.5540161
Asheville, NC, USA,1990,1,35.6009498,-82.5540161
Asheville, NC, USA,2007,1,35.6009498,-82.5540161
Ashland, KY, USA,1978,1,38.4784144,-82.6379387
Ashland, KY, USA,1984,1,38.4784144,-82.6379387
Ashland, KY, USA,2003,1,38.4784144,-82.6379387
Ashland, KY, USA,2019,1,38.4784144,-82.6379387
Ashland, OR, USA,1986,1,42.1972487,-122.7153995
Ashland, OR, USA,2017,1,42.1972487,-122.7153995
Ashland, PA, USA,1993,1,33.2737256,-85.8360741
Ashtabula, OH, USA,2002,1,41.865054,-80.789809
Astoria, NY, USA,1972,1,40.7720145,-73.9302673
Astoria, OR, USA,2004,1,46.187885,-123.831256
Atascadero, CA, USA,1970,1,35.4894169,-120.6707255
Atascadero, CA, USA,1973,1,35.4894169,-120.6707255
Athens, GA, USA,1983,1,33.9597677,-83.376398
Athens, GA, USA,2000,1,33.9597677,-83.376398
Athens, GA, USA,2005,1,33.9597677,-83.376398
Athens, GA, USA,2013,2,33.9597677,-83.376398
Athens, GA, USA,2016,1,33.9597677,-83.376398
Atlanta, GA, USA,1971,2,33.7489924,-84.3902644
Atlanta, GA, USA,1973,3,33.7489924,-84.3902644
Atlanta, GA, USA,1978,2,33.7489924,-84.3902644
Atlanta, GA, USA,1980,1,33.7489924,-84.3902644
Atlanta, GA, USA,1982,2,33.7489924,-84.3902644
Atlanta, GA, USA,1985,1,33.7489924,-84.3902644
Atlanta, GA, USA,1986,1,33.7489924,-84.3902644
Atlanta, GA, USA,1988,1,33.7489924,-84.3902644
Atlanta, GA, USA,1989,1,33.7489924,-84.3902644
Atlanta, GA, USA,1990,3,33.7489924,-84.3902644
Atlanta, GA, USA,1991,1,33.7489924,-84.3902644
Atlanta, GA, USA,1994,2,33.7489924,-84.3902644
Atlanta, GA, USA,1997,1,33.7489924,-84.3902644
Atlanta, GA, USA,1998,3,33.7489924,-84.3902644
Atlanta, GA, USA,1999,1,33.7489924,-84.3902644
Atlanta, GA, USA,2000,2,33.7489924,-84.3902644
Atlanta, GA, USA,2001,1,33.7489924,-84.3902644
Atlanta, GA, USA,2002,2,33.7489924,-84.3902644
Atlanta, GA, USA,2005,4,33.7489924,-84.3902644
Atlanta, GA, USA,2006,1,33.7489924,-84.3902644
Atlanta, GA, USA,2008,3,33.7489924,-84.3902644
Atlanta, GA, USA,2009,2,33.7489924,-84.3902644
Atlanta, GA, USA,2010,2,33.7489924,-84.3902644
Atlanta, GA, USA,2012,2,33.7489924,-84.3902644
Atlanta, GA, USA,2013,1,33.7489924,-84.3902644
Atlanta, GA, USA,2014,2,33.7489924,-84.3902644
Atlanta, GA, USA,2016,1,33.7489924,-84.3902644
Atlanta, GA, USA,2017,5,33.7489924,-84.3902644
Atlanta, GA, USA,2018,2,33.7489924,-84.3902644
Atlanta, GA, USA,2019,3,33.7489924,-84.3902644
Atlanta, GA, USA,2020,2,33.7489924,-84.3902644
Atlanta, TX, USA,1982,1,33.1162131,-94.1663493
Atlanta, TX, USA,2009,1,33.1162131,-94.1663493
Atlantic Highlands, NJ, USA,2018,1,40.4078865,-74.034306
Atlantic, IA, USA,1999,1,41.4036007,-95.0138776
Atwater, CA, USA,1993,1,37.353521,-120.6031093008
Auburn, AL, USA,1979,1,32.562842,-85.515516
Auburn, AL, USA,2008,1,32.562842,-85.515516
Auburn, CA, USA,2009,1,38.8945939,-121.0739897
Auburn, NY, USA,1997,1,42.9320202,-76.5672029
