"City","State","Country","debutYear","freq","lat","long","cm_debut","rank2"
"Hilo"," HI"," USA",2019,1,19.7073734,-155.0815803,4,89.5
"Hilo"," HI"," USA",2013,1,19.7073734,-155.0815803,3,51
"Hilo"," HI"," USA",2000,1,19.7073734,-155.0815803,2,42
"Hilo"," HI"," USA",1999,1,19.7073734,-155.0815803,1,15
"Kula"," HI"," USA",2010,1,20.792026,-156.3237119,1,13
"Wailuku"," HI"," USA",2007,1,20.8894684,-156.50893979,2,37.5
"Wailuku"," HI"," USA",2003,1,20.8894684,-156.50893979,1,13
"Honolulu"," HI"," USA",2019,1,21.304547,-157.855676,25,138.5
"Honolulu"," HI"," USA",2018,1,21.304547,-157.855676,24,133.5
"Honolulu"," HI"," USA",2015,1,21.304547,-157.855676,23,134
"Honolulu"," HI"," USA",2007,1,21.304547,-157.855676,22,120
"Honolulu"," HI"," USA",2006,2,21.304547,-157.855676,21,106
"Honolulu"," HI"," USA",2003,2,21.304547,-157.855676,19,98.5
"Honolulu"," HI"," USA",2002,1,21.304547,-157.855676,17,110.5
"Honolulu"," HI"," USA",2000,1,21.304547,-157.855676,16,111
"Honolulu"," HI"," USA",1998,1,21.304547,-157.855676,15,119.5
"Honolulu"," HI"," USA",1989,1,21.304547,-157.855676,14,101.5
"Honolulu"," HI"," USA",1988,1,21.304547,-157.855676,13,86
"Honolulu"," HI"," USA",1987,1,21.304547,-157.855676,12,98.5
"Honolulu"," HI"," USA",1985,1,21.304547,-157.855676,11,71.5
"Honolulu"," HI"," USA",1983,2,21.304547,-157.855676,10,101
"Honolulu"," HI"," USA",1980,1,21.304547,-157.855676,8,86
"Honolulu"," HI"," USA",1977,2,21.304547,-157.855676,7,99.5
"Honolulu"," HI"," USA",1976,1,21.304547,-157.855676,5,60.5
"Honolulu"," HI"," USA",1975,1,21.304547,-157.855676,4,78
"Honolulu"," HI"," USA",1970,3,21.304547,-157.855676,3,102.5
"Kailua"," HI"," USA",2008,1,21.394833,-157.7298913466,2,35
"Kailua"," HI"," USA",2005,1,21.394833,-157.7298913466,1,14
"Pearl City"," HI"," USA",2019,1,21.4001231,-157.969428,1,27
"Kaneohe"," HI"," USA",1982,1,21.4055,-157.7960716072,1,29
"Mililani"," HI"," USA",2016,1,21.4508308,-158.0095783,1,21
"Lihue"," HI"," USA",2014,1,21.9769622,-159.3687721,3,55.5
"Lihue"," HI"," USA",2004,1,21.9769622,-159.3687721,2,31.5
"Lihue-Kauai"," HI"," USA",1992,1,21.9769622,-159.3687721,1,16.5
"Kahaku"," HI"," USA",2017,1,22.2138295,-159.4727802,1,18.5
"Key West"," FL"," USA",2000,1,24.5625566,-81.7724368,5,76
"Key West"," FL"," USA",1998,1,24.5625566,-81.7724368,4,76.5
"Key West"," FL"," USA",1992,1,24.5625566,-81.7724368,3,62
"Key West"," FL"," USA",1974,1,24.5625566,-81.7724368,2,77
"Key West"," FL"," USA",1973,1,24.5625566,-81.7724368,1,35.5
"Homestead"," FL"," USA",2007,1,25.4718946,-80.4759905,2,37.5
"Homestead"," FL"," USA",1996,1,25.4718946,-80.4759905,1,21.5
"South Miami"," FL"," USA",2011,1,25.7076017,-80.2933846,1,13.5
"Coral Gables"," FL"," USA",2001,1,25.72149,-80.2683838,4,62
"Coral Gables"," FL"," USA",1999,1,25.72149,-80.2683838,3,58.5
"Coral Gables"," FL"," USA",1994,1,25.72149,-80.2683838,2,25
"Coral Gables"," FL"," USA",1980,1,25.72149,-80.2683838,1,20
"Miami"," FL"," USA",2020,1,25.7741728,-80.19362,58,126
"Miami"," FL"," USA",2019,1,25.7741728,-80.19362,57,154
"Miami"," FL"," USA",2018,2,25.7741728,-80.19362,56,146
"Miami"," FL"," USA",2016,2,25.7741728,-80.19362,54,149
"Miami"," FL"," USA",2015,3,25.7741728,-80.19362,52,145
"Miami"," FL"," USA",2014,1,25.7741728,-80.19362,49,134.5
"Miami"," FL"," USA",2013,1,25.7741728,-80.19362,48,138.5
